client_code,product,push_notification
45,Премиальная карта,"Диана, заметили ваши активные траты на ювелирку и рестораны. Премиальная карта обеспечит до 5% кешбэка и уникальные привилегии. Оформить карту?"
46,Кредитная карта,"Арсен, заметили, что вы часто тратите на продукты и кафе. С кредитной картой можете получать до 10% кешбэка в ваших любимых категориях. Оформить сейчас?"
47,Кредитная карта,"Камшат, заметили, что вы часто тратите на продукты и кафе. С кредитной картой можете получать до 10% кешбэка в этих категориях. Оформить карту?"
48,Кредитная карта,"Ержан, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях! Это удобно и выгодно. Оформить карту?"
49,Кредитная карта,"Амина, заметили, что вы часто тратите на продукты и кафе. Кредитная карта даст до 10% кешбэка в этих категориях! Удобно и выгодно. Оформить карту?"
50,Премиальная карта,"Тимурлан, заметили ваши активные траты в ресторанах. С премиальной картой вы получите до 4% кешбэка и бесплатные снятия. Это удобно! Оформить карту?"
51,Кредитная карта,"Жанат, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка в этих категориях. Приятно экономить, правда? Оформить карту?"
52,Премиальная карта,"Милана, заметили ваши активные траты в ресторанах. Премиальная карта обеспечит до 4% кешбэка на все покупки и особые привилегии. Оформить карту?"
53,Премиальная карта,"Расул, заметили ваши активные траты в ресторанах. С премиальной картой вы получите до 4% кешбэка на покупки и множество привилегий. Оформить карту?"
54,Премиальная карта,"Виктория, заметили, что ваши траты в ресторанах впечатляют! Премиальная карта подарит вам до 4% кешбэка и особые привилегии. Удобно и выгодно! Оформить карту?"
55,Премиальная карта,"Асель, заметили ваши активные траты в ресторанах. Премиальная карта подарит вам до 4% кешбэка на все покупки и удобные привилегии. Оформить сейчас?"
56,Кредитная карта,"Нуркен, заметили, что вы часто тратите на продукты и кафе. С кредитной картой вы получите до 10% кешбэка в этих категориях. Оформить карту?"
57,Премиальная карта,"Жания, видим, что вы активно тратите на рестораны. Премиальная карта подарит до 4% кешбэка на все покупки и эксклюзивные привилегии. Оформить карту?"
58,Кредитная карта,"Султан, заметили, что вы часто тратите на продукты и кафе. С кредитной картой получите до 10% кешбэка именно в этих категориях. Оформить карту?"
59,Премиальная карта,"Динара, заметили ваши активные траты в ресторанах. С премиальной картой получите до 4% кешбэка на покупки и особые привилегии. Оформить карту?"
60,Премиальная карта,"Ермек, заметили, что вы активно тратите в ресторанах. С премиальной картой получите до 4% кешбэка и другие привилегии для комфортных покупок. Оформить карту?"
